,pk,company_name,litigation_reason,litigation_reason_reference,claim_category,claim_category_reference,source_of_pfas,source_of_pfas_reference,settlement_finalized,settlement_currency,settlement_amount,settlement_paid_date,settlement_reference,0
0,als_76917_20250627155423,3M,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemicals’ manufacturers, including 3M""",AFFF runoff,"Article: ""Many of the current health concerns regarding these chemicals arise from widespread water contamination across U.S. communities, which stem from the prolonged use of aqueous film-forming foam (AFFF) by firefighters and the military to combat fuel-based fires.""",False,,,,"Inferred: The text does not mention any finalized settlement or specific settlement amount related to 3M and PFAS. It discusses ongoing lawsuits and pretrial proceedings, with the first trial scheduled for October 2025. Therefore, there is no information available about a finalized settlement, settlement amount, currency, or paid date.",
0,als_76917_20250627155423,DuPont,Failing to Warn,"Article: ""The lawsuits accuse the chemical and safety equipment manufacturers of failing to warn the public about the long-term health risks posed by PFAS exposure""",Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemicals’ manufacturers, including 3M, DuPont, Chemguard, Inc., Tyco Fire Products and others""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to DuPont and PFAS. It discusses ongoing lawsuits and pretrial proceedings, indicating that the case has not yet been settled. The first trial is scheduled for October 2025, which suggests that settlements are still in the future and not yet finalized.",
0,als_76917_20250627155423,"Chemguard, Inc.",Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemicals’ manufacturers, including 3M, DuPont, Chemguard, Inc., Tyco Fire Products and others.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard, Inc. or any other company involved in the PFAS lawsuits. It only discusses the ongoing litigation and the preparation for bellwether trials scheduled to begin in October 2025. Therefore, there is no information available to determine if a settlement has been finalized or any details about a settlement amount.",
0,als_76917_20250627155423,Tyco Fire Products,Failing to Warn,"Article: ""The lawsuits accuse the chemical and safety equipment manufacturers of failing to warn the public about the long-term health risks posed by PFAS exposure""",Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Tyco Fire Products for PFAS. It only discusses the ongoing lawsuits and the preparation for bellwether trials scheduled to begin in October 2025. Therefore, it can be inferred that no settlement has been finalized or mentioned in the provided text.",
1,als_77354_20250626203530,3M Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Product Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company or PFAS. It primarily discusses the ongoing litigation, the health issues caused by PFAS, and the upcoming trials. There is no indication that a settlement has been reached or finalized.",
1,als_77354_20250626203530,E.I. DuPont De Nemours and Co.,Bodily Injury (Individuals alleging health affects),"Article: ""alleging they developed cancer and other serious health conditions after years of consuming drinking water contaminated by PFAS chemicals used in aqueous film-forming foam (AFFF)""",Product Liability,"Article: ""a group of 16 individuals have joined together to pursue a product liability lawsuit against more than 20 chemical and fire safety equipment manufacturers""",AFFF runoff,"Article: ""alleging they developed cancer and other serious health conditions after years of consuming drinking water contaminated by PFAS chemicals used in aqueous film-forming foam (AFFF)""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to E.I. DuPont De Nemours and Co. regarding PFAS. It primarily discusses the ongoing litigation and the upcoming trials, but no specific settlements are mentioned.",
1,als_77354_20250626203530,Raytheon Technologies Corporation,Bodily Injury (Individuals alleging health affects),"Article: ""alleging they developed cancer and other serious health conditions after years of consuming drinking water contaminated by PFAS chemicals used in aqueous film-forming foam (AFFF)""",Product Liability,"Article: ""a product liability lawsuit against more than 20 chemical and fire safety equipment manufacturers""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to Raytheon Technologies Corporation or any other defendant in the PFAS-related lawsuit. The article primarily discusses the ongoing litigation process, the health issues caused by PFAS, and the upcoming trials. There is no information provided about any settlements or payments made.",
1,als_77354_20250626203530,The Chemours Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Product Liability,"Article: ""a product liability lawsuit against more than 20 chemical and fire safety equipment manufacturers""",Products,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to 'The Chemours Company' or any other defendants in the PFAS-related lawsuits. The text primarily discusses the ongoing litigation, the health issues caused by PFAS, and the upcoming trials. Therefore, there is no information available to determine if a settlement has been reached or the details of any settlement.",
1,als_77354_20250626203530,Tyco Fire Products L.P.,Bodily Injury (Individuals alleging health affects),"Article: ""alleging they developed cancer and other serious health conditions after years of consuming drinking water contaminated by PFAS chemicals used in aqueous film-forming foam (AFFF)""",Product Liability,"Article: ""A group of 16 individuals have joined together to pursue a product liability lawsuit against more than 20 chemical and fire safety equipment manufacturers""",Products,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to Tyco Fire Products L.P. or any other defendants in the PFAS-related lawsuits. The text primarily discusses the ongoing litigation, the health issues caused by PFAS, and the upcoming trials. Therefore, it is not possible to extract the requested settlement details from the given information.",
2,als_76655_20250613163108,3M Company,Failing to Warn,Inferred: No explanation available,Environmental Liability,"Article: ""Plaintiffs allege that chemical manufacturers like 3M Company, Chemguard and others failed to warn the public about the long-term health risks posed by PFAS exposure.""",AFFF runoff,"Article: ""more than 10,000 AFFF lawsuits have been filed against chemical manufacturers like 3M Company""",False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company and PFAS. It only discusses ongoing litigation and the preparation for bellwether trials scheduled to begin in October 2025. Therefore, there is no information available to determine if the case has been settled or any details about a settlement amount.",
2,als_76655_20250613163108,Chemguard,Failing to Warn,Inferred: No explanation available,Product Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date related to Chemguard and PFAS. It only discusses ongoing litigation and the preparation for bellwether trials scheduled to begin in October 2025. Therefore, it can be inferred that no settlement has been finalized yet.",
3,als_76146_20250612202726,3M Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any finalized settlement or specific settlement amount for 3M Company related to PFAS. It discusses the ongoing litigation and preparation for bellwether trials, but no settlement details are provided.",
3,als_76146_20250612202726,Chemguard,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized for Chemguard related to PFAS. It discusses the ongoing litigation, the number of lawsuits, and the preparation for bellwether trials, but does not provide any details about a settlement amount, currency, or paid date.",
5,als_75133_20250529184746,3M Company,Failing to Warn,Inferred: No explanation available,Product Liability,"Article: ""more than 9,300 product liability lawsuits currently being pursued against 3M Company""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to 3M Company and PFAS. It discusses ongoing litigation, bellwether trials, and the organization of cases but does not provide details about any settlements.",
5,als_75133_20250529184746,Chemguard,Failing to Warn,"Article: ""the companies failed to warn about the serious health risks posed by per- and polyfluoroalkyl substances (PFAS) contained in AFFF fire fighting foam""",Product Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to Chemguard and PFAS. It primarily discusses the ongoing litigation process, the selection of bellwether trials, and the arguments for and against consolidating cases for trial. There is no indication of a settlement being reached or any monetary figures provided.",
6,als_74405_20250514200834,3M Company,Environmental Pollution,Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,USD,450000000,2026-2034,"Article: ""3M Company has agreed to pay the state of New Jersey up to $450 million to resolve claims that it contaminated drinking water in the state with toxic per- and polyfluoroalkyl substances (PFAS)""",
6,als_74405_20250514200834,"EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.)",Environmental Pollution,"Article: ""The trial is scheduled to move forward involving claims against other alleged polluters, including EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.)""",Environmental Liability,"Article: ""claims against other alleged polluters, including EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.)""",Operations,"Article: ""{'source_of_pfas_reference': 'claims its activities and products heavily contaminated the state’s water supply'}""",False,,,,"Inferred: The text does not mention any specific settlement amount, currency, or paid date for EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.) related to PFAS. It only mentions that the trial is scheduled to move forward involving claims against EIDP, Inc. and other companies. Therefore, it can be inferred that there is no finalized settlement for EIDP, Inc. at this time.",
6,als_74405_20250514200834,The Chemours Company,Environmental Pollution,"Article: ""The trial is scheduled to move forward involving claims against other alleged polluters, including EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.), The Chemours Company, and other DuPont subsidiaries.""",Environmental Liability,"Article: ""The trial is scheduled to move forward involving claims against other alleged polluters, including EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.), The Chemours Company, and other DuPont subsidiaries.""",Operations,Inferred: No explanation available,False,,,,"Inferred: The text does not mention a specific settlement amount, currency, or paid date for The Chemours Company related to PFAS. The text primarily discusses the settlement involving 3M Company and does not provide detailed information about any settlement involving The Chemours Company.",
6,als_74405_20250514200834,DuPont subsidiaries,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""The trial is scheduled to move forward involving claims against other alleged polluters, including EIDP, Inc. (formerly known as E.I. DuPont de Nemours and Co.), The Chemours Company, and other DuPont subsidiaries.""",Operations,Inferred: No explanation available,False,,,,"Inferred: The text does not mention a finalized settlement for DuPont subsidiaries related to PFAS. It only mentions that the trial is scheduled to move forward involving claims against DuPont subsidiaries. Therefore, no settlement amount, currency, or paid date is provided for DuPont subsidiaries.",
7,als_73807_20250509154950,3M Company,Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,True,USD,12500000000.00,June 2023,"Article: ""3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement to resolve those water provider claims.""",
7,als_73807_20250509154950,Chemguard,Bodily Injury (Individuals alleging health affects),"Article: ""individuals who developed kidney cancer or testicular cancer from contaminated drinking water""",Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text mentions a settlement amount of over $12.5 billion paid by 3M Company in June 2023 for AFFF water contamination claims related to water providers. However, it explicitly states that there have not been any reported AFFF lawsuit settlements for personal injury lawsuits, which includes the cases involving Chemguard. Therefore, there is no settlement amount mentioned for Chemguard related to PFAS in the text.",
8,als_72939_20250429190210,3M Company,Environmental Pollution,"Article: ""3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement to resolve other claims brought by local water suppliers, which have been left with the costs associated with removing the toxic chemicals from U.S. water sources.""",Environmental Liability,"Article: ""3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement to resolve other claims brought by local water suppliers, which have been left with the costs associated with removing the toxic chemicals from U.S. water sources.""",AFFF runoff,"Article: ""3M Company, Tyco Fire Products, Chemguard, Inc. and other manufacturers involved in the sale of AFFF-based firefighting foam face more than 8,000 lawsuits nationwide, each alleging they failed to disclose serious health risks associated with firefighting products used widely by the U.S. military and local fire departments for decades, which have caused widespread water contamination in communities nationwide.""",True,USD,12500000000.00,June 2023,"Article: ""3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement to resolve other claims brought by local water suppliers""",
8,als_72939_20250429190210,Tyco Fire Products,Bodily Injury (Individuals alleging health affects),"Article: ""involving ulcerative colitis allegedly caused by toxic chemicals in the firefighting foam""",Environmental Liability,Inferred: No explanation available,AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text mentions that 3M Company agreed to pay over $12.5 billion in an AFFF water contamination settlement, but it explicitly states that there have not been any reported settlements in AFFF personal injury lawsuits. There is no specific mention of a settlement involving Tyco Fire Products related to PFAS in the provided text.",
8,als_72939_20250429190210,"Chemguard, Inc.",Bodily Injury (Individuals alleging health affects),Inferred: No explanation available,Product Liability,"Article: ""each alleging they failed to disclose serious health risks associated with firefighting products used widely by the U.S. military and local fire departments for decades""",Products,"Article: ""Chemguard, Inc. and other manufacturers involved in the sale of AFFF-based firefighting foam face more than 8,000 lawsuits nationwide, each alleging they failed to disclose serious health risks associated with firefighting products used widely by the U.S. military and local fire departments for decades, which have caused widespread water contamination in communities nationwide.""",False,,,,"Inferred: The text does not mention any specific settlement involving Chemguard, Inc. related to PFAS. It only mentions a settlement involving 3M Company and local water suppliers, but no settlement details are provided for Chemguard, Inc. or any personal injury lawsuits. Therefore, it is not possible to extract any settlement information for Chemguard, Inc. from the provided text.",
9,als_72415_20250428161710,3M Company,Occupational Exposure,Inferred: No explanation available,Product Liability,Inferred: No explanation available,Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement amount, currency, or paid date related to 3M Company or PFAS. It discusses the ongoing class action lawsuit and the claims made by firefighters but does not provide any information about a finalized settlement or specific amounts.",
9,als_72415_20250428161710,"Dupont De Nemours, Inc",Occupational Exposure,Inferred: No explanation available,Product Liability,"Article: ""It accuses the manufacturers of designing and selling toxic equipment that led to firefighters’ bodies absorbing the harmful chemicals, increasing their risks of cancer to the point that it is now the leading cause of death among firefighters.""",Products,"Article: ""turnout gear manufacturers gave firefighters equipment they knew, or should have known, carried toxic exposure risks""",False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to Dupont De Nemours, Inc. The article discusses the ongoing class action lawsuit and the broader context of PFAS litigation, but no specific settlements or amounts are provided.",
9,als_72415_20250428161710,Corteva,Occupational Exposure,Inferred: No explanation available,Product Liability,Inferred: No explanation available,Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to Corteva or PFAS. The article primarily discusses the ongoing litigation and the details of the lawsuit filed by firefighter unions against various manufacturers, including Corteva. There is no information provided about any settlements or payments made.",
9,als_72415_20250428161710,Gore & Associates,Occupational Exposure,Inferred: No explanation available,Product Liability,"Article: ""The complaint presents claims of design defect, negligence, failure to warn, negligent design and manufacture, medical monitoring, and seeks both compensatory and punitive damages.""",Products,"Article: ""firefighting protective equipment, also known as turnout gear, which they indicate are laden with cancer-causing per- and polyfluoroalkyl substances (PFAS).""",False,,,,Inferred: The text does not mention any settlement being finalized or any specific settlement amount related to Gore & Associates or PFAS. The article primarily discusses the ongoing class action lawsuit and the health risks associated with PFAS in firefighter turnout gear. There is no information provided about any settlements or payouts.,
9,als_72415_20250428161710,Honeywell Safety Products,Occupational Exposure,Inferred: No explanation available,Product Liability,"Article: ""The complaint presents claims of design defect, negligence, failure to warn, negligent design and manufacture, medical monitoring, and seeks both compensatory and punitive damages.""",Products,Inferred: No explanation available,False,,,,"Inferred: The text does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to Honeywell Safety Products or PFAS. The text primarily discusses the ongoing litigation and the claims made in the lawsuit, but there is no indication of a settlement having been reached.",
11,als_69105_20250317172040,Apple Inc.,Product,Inferred: No explanation available,Product Liability,"Article: ""alleging that the Apple watch bands contain toxic per- and polyfluoroalkyl substances (PFAS)""",Products,"Article: ""Apple watch bands contain toxic per- and polyfluoroalkyl substances (PFAS)""",False,,,,"Inferred: The text provided does not mention any settlement being finalized or any specific settlement amount, currency, or paid date related to the Apple Inc. case involving PFAS. The text primarily discusses the allegations and the nature of the lawsuit filed by Dominique Cavalier and Kiley Krzyzek, but it does not provide any information about a settlement or its details.",
11,als_69105_20250317172040,3M,Environmental Pollution,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M""",Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M""",AFFF runoff,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M""",False,,,,"Inferred: {'reason': 'The provided text does not mention any settlement related to 3M or any settlement amount, currency, or paid date. The text primarily discusses the lawsuit against Apple Inc. regarding PFAS in Apple Watch bands and does not provide details about any settlements involving 3M.'}",
11,als_69105_20250317172040,DuPont,Environmental Pollution,Inferred: No explanation available,Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M, DuPont, Chemguard, Inc., Tyco Fire Products and other producers of PFAS chemicals""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The text provided does not mention any settlement related to DuPont or any other company regarding PFAS. It primarily discusses the lawsuit against Apple Inc. for the presence of PFAS in Apple Watch bands. There is no information about a settlement amount, currency, or paid date related to DuPont in the text.",
11,als_69105_20250317172040,"Chemguard, Inc.",Environmental Pollution,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M, DuPont, Chemguard, Inc.""",Environmental Liability,"Article: ""thousands of PFAS water contamination lawsuits have been filed against the chemical manufacturers, including 3M, DuPont, Chemguard, Inc.""",AFFF runoff,Inferred: No explanation available,False,,,,"Inferred: The provided text does not mention any settlement details for Chemguard, Inc. related to PFAS. It only discusses the lawsuit against Apple Inc. regarding PFAS in Apple Watch bands and mentions that numerous PFAS water contamination lawsuits have been filed against various chemical manufacturers, including Chemguard, Inc. However, there is no specific information about a settlement amount, currency, or paid date for Chemguard, Inc.",
